"filename", "language", "JavaScript", "PHP", "Markdown", "XML", "HTML", "JSON", "CSS", "JSON with Comments", "comment", "blank", "total"
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/mysql/KServerMySql.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 6, 15, 48
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/mysql/KUserMySql.php", "PHP", 0, 112, 0, 0, 0, 0, 0, 0, 0, 37, 149
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/qrcodejs/README.md", "Markdown", 0, 0, 36, 0, 0, 0, 0, 0, 0, 11, 47
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/qrcodejs/bower.json", "JSON", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/qrcodejs/index-svg.html", "HTML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 6, 48
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/qrcodejs/index.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 6, 44
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/qrcodejs/index.svg", "XML", 0, 0, 0, 32, 0, 0, 0, 0, 0, 6, 38
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/qrcodejs/jquery.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/qrcodejs/qrcode.js", "JavaScript", 414, 0, 0, 0, 0, 0, 0, 0, 127, 74, 615
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/qrcodejs/qrcode.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/temporal.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 0, 60, 60, 258
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/users/a.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/users/root.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/users/selva-admin.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Applications/XAMPP/xamppfiles/htdocs/Kicsy/users/selva.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"Total", "-", 2538, 562, 36, 11019, 9123, 22, 456, 8, 1747, 19055, 44566
